id,text,category
2948357,"Несанкционированные объявления борделей на опоре освещения.

Согласно ст. 37_1 Закона Санкт-Петербурга от 12 мая 2010 года № 273-70 ""Об административных правонарушениях в Санкт-Петербурге"": ""Самовольное нанесение надписей и рисунков, вывешивание, установка и расклеивание объявлений ... в не установленных для этого местах влекут наложение административного штрафа на граждан в размере от трех тысяч до пяти тысяч рублей; на должностных лиц - от тридцати тысяч до пятидесяти тысяч рублей; на юридических лиц - от семидесяти тысяч до ста тысяч рублей"" (в редакции, введенной в действие с 19 мая 2019 года Законом Санкт-Петербурга от 7 мая 2019 года N 217-51).

Администрация Невского района и Комитет по вопросам законности, правопорядка и безопасности уполномочены привлекать нарушителей к административной ответственности (см. статьи 48 и 51 Закона СПб № 273-70).",Благоустройство
2948370,В вазонах около дома постоянно скапливается мусор.,Благоустройство
2948386,"Мусор на балконе, требуется уборка",Содержание МКД
2948412,"Ржавый контейнер с нечитаемым номером, без указания владельца. Контейнерная площадка Гаврская 11.
Нарушение ГОСТ Р 56195-2014 Услуги жилищно-коммунального хозяйства и управления многоквартирными домами. Услуги содержания придомовой территории, сбора и вывоза бытовых отходов. Общие требования. 
7. Услуга по организации сбора и вывоза бытовых отходов. 
7.9 Контейнеры должны быть в технически исправном состоянии, покрашены и иметь маркировку с указанием реквизитов владельца контейнера.",Содержание МКД
2948414,"Необходимо привести внутриквартальный проезд в надлежащий вид.

В соответствии с п. 6.1 СП 82.13330.2016 ""Благоустройство территорий. Актуализированная редакция СНиП III-10-75"", покрытия внутриквартальных проездов, тротуаров, пешеходных дорожек и площадок должны обеспечивать отвод поверхностных вод, не должны быть источниками грязи и пылить в сухую погоду.",Благоустройство
2948426,прошу восстановить покрытие,Благоустройство
2948447,мешки с мусором на газоне,Благоустройство
2948466,не убирается листва на газоне между ЖЭК 5 и детским садом,Благоустройство
2948470,Мусор вне баков.,Содержание МКД
2948474,неделю назад из подвала сильно пахло мертвым животным сейчас мухи атоковали весь подъезд примите пожалуйста меры лестница√4,Санитарное состояние
2948490,не убирается листва на прилегающей территории. здание ЖЭК 5,Благоустройство
2948497,граффити на ограждении и баке.,Содержание МКД
2948503,"1. Не установлен ""информационный щит"", удовлетворяющий Правилам благоустройства территории Санкт-Петербурга.
2. Не размещена в полном объем ""информация"" согласно п.2.4 Порядка накопления твердых коммунальных отходов (в том числе их раздельного накопления) на территории Санкт-Петербурга .
	 
	Согласно п.2.6  Приложения N 2 к Правилам благоустройства территории Санкт-Петербурга наружная информация включая ""информационные щиты"" относится к виду элементов благоустройства ""Наружная реклама и информация"".
	Согласно п. 2.3.5.8.5 Приложения N 3 к Правилам благоустройства территории Санкт-Петербурга Проектное решение наружной информации должно быть безопасно для людей, удобно в эксплуатации и ремонте, с высоким уровнем художественного и технического исполнения, с использованием качественных, долговечных материалов с высокими декоративными и эксплуатационными свойствами. 
А приклеили скотчем какую-то бумажку.
Возникают вопросы к компетенции сотрудников ГУЖА, принявших такую работу.",Содержание МКД
2948510,Неоднократный дефект холодного водоснабжения в парадной,Водоснабжение
2948512,"Пр. Ударников. Дом 21/2. Парадная 4. На площадках,  рядом с мусоропроводом. На этажах 2 и 3. Облупилась штукатурка. На этажах 4,5,6. Видны следы протечки. Требую восстановить приличный вид стен.",Содержание МКД
2948524,Прошу привести наш подъезд №3 в надлежащее состояние! Чтобы были закрашены все неподобающие надписи и заделаны все дыры в стенах!,Содержание МКД
2948533,Не вывозят мусор,Содержание МКД
2948541,"Здравствуйте .Разбито стекло на двери ведущей с черной лестницы на переходной балкон 12 этаж.парадная № 7 .
Прошу устранить в ближайшее время,так как холодно в местах общего пользования.",Содержание МКД
2948547,"Пробы воды на предмет качества в моей квартире не проводились, УК ко мне не обращалась, на основании чего было решено, что собственник, то есть я, претензий не имеет - мне не известно, акт я не подписывала. Подпись в акте сфальсифицирована, налицо подлог документа.",Водоснабжение
2948560,"Добрый день!
Неудовлетворительное состояние грузового лифта.
Грязный потолок, следы надписей на зеркале ,порваны правила пользования лифтом.Прошу удалить следы клея и надписей на зеркале,помыть потолок  и заменить табличку с правилами пользования лифта.",Содержание МКД
2948580,Сломана дверь в парадную,Содержание МКД
2948582,Поломаны скамейки  на бульваре рядом с памятником пожарным ( ул.Прибрежная).,Благоустройство
2948589,"Фасад дома на  Звенигородское улице, дом 5 (со стороны Марата 81) окрашен неравномерно. На стены нанесены пятна краски, цвет которой не соответствует колерному бланку фасада. Нанесение на фасады домов пятен разноцветной краски, не соответствующей колерному бланку, является грубым нарушением правил ремонта зданий. В соответствии с п. 8.6 и 8.8 постановления Правительства Санкт-Петербурга от 9 ноября 2016 г. № 961 ""О правилах благоустройства территории Санкт-Петербурга и о внесении изменений в некоторые постановления Правительства Санкт-Петербурга"", текущий ремонт и капитальный ремонт фасадов осуществляются на основании колерного бланка фасадов, выдаваемого КГА; окраска фасада осуществляется в соответствии с колерным бланком. Необходимо устранить нарушение и привести фасад в строгое соответствие с колерным бланком.",Фасад
2948598,Хлам во дворе,Благоустройство
2948620,"Конструкция, препятствующая парковке, у ТЦ Французский бульвар",Благоустройство
2948633,"Для установки элемента благоустройства (газонного ограждения) мною предлагается территория не газона вдоль торца д.12 по ул. Победы, а газон, находящийся сразу слева от входа в подъезд №1. Согласно картам РГИС и картам теплосетей, там возможно расположение подобного ограждения. Прикреплены фото карт, которые я получила в качестве ответа, с точным,исправленным, конкретным указанием расположения ограждения (красным цветом).",Благоустройство
2948634,ж.б. лом у входа в детский сад,Благоустройство
2948638,Скопление мусора в парке Сосновка,Благоустройство
2948641,Решетка на лицевом фасаде. Прошу демонтировать.,Нарушение правил пользования общим имуществом
2948646,Решетка на лицевом фасаде. Прошу демонтировать.,Нарушение правил пользования общим имуществом
2948649,Решетка на лицевом фасаде. Прошу демонтировать.,Нарушение правил пользования общим имуществом
2948662,Решетка на фасаде по наб.Фонтанки. Прошу демонтировать.,Нарушение правил пользования общим имуществом
2948667,"Не надлежащее состояние тротуара, примыкающего к входу к парадным (1-5). Упавшие части бордюрного камня ( поребрика), у тротуарной дорожки.",Благоустройство
2948668,"Парадная #4, 1 этаж. Разрисованные панель вызова лифта и наличник дверного проема лифта",Содержание МКД
2948676,уберите мусор с внутридворовой территории,Благоустройство
2948682,уберите пакеты с мусором с газона,Благоустройство
2948684,уберите конструкцию препятсвующую парковке на дороге,Благоустройство
2948687,уберите покрышку с газона,Благоустройство
2948689,уберите мусорные баки,Благоустройство
2948696,Здравствуйте! Грязь в парадной 5. По улице Херсонская 2/9. Прошу сделать влажную уборку парадной.,Содержание МКД
2948705,уберите мусор на газоне вдоль проезжей части,Благоустройство
2948710,нелегальная рекламная конструкция,Незаконная информационная и (или) рекламная конструкция
2948734,очистите опору освещения от нелегальной рекламы,Благоустройство
2948736,Незаконное использование общедомовой собственности. Без согласия 2/3 собственников общедомовая собственность сдаётся в аренду.,Нарушение порядка пользования общим имуществом
2948745,нелегальная торговля,"Незаконная реализация товаров с торгового оборудования (прилавок, ящик, с земли)"
2948760,нелегальная рекламная конструкция,Незаконная информационная и (или) рекламная конструкция
2948782,"нависшие ветки над дорожкой, необходимо убрать пару веток",Благоустройство
2948784,Надписи на остановке.,Благоустройство
2948791,Надписи на ларьке.,Благоустройство
2948825,Контейнер расположен за пределами контейнерной площадки. Нарушение РАСПОРЯЖЕНИЕ КОМИТЕТ ПО БЛАГОУСТРОЙСТВУ САНКТ-ПЕТЕРБУРГА от 30 ноября 2018 года N 410-р Об утверждении Порядка накопления твердых коммунальных отходов (в том числе их раздельного накопления) на территории Санкт-Петербурга п.2.6. В целях обеспечения надлежащего накопления твердых коммунальных отходов запрещено: - выставлять контейнеры за пределы контейнерной площадки ранее одного часа до прибытия мусоровоза; - устанавливать контейнеры и бункеры за пределами контейнерных площадок;,Благоустройство
2948830,Облупилась краска около почтовых ящиков,Содержание МКД
2948835,"прошу устранить остатки клея и объявлений 
при входе в 3ю парадную",Содержание МКД
2948845,"Закрыли все подвальные продухи в доме по адресу: ул. Ушинского, 31 (Калининский район). Нарушено Постановление Правительства РФ от 23.11.2019 № 1498 «О внесении изменения в Правила содержания общего имущества в многоквартирном доме». Необходимо открыть продух размером 22 х 22 см. (согласно СП 54.13330.2016 «СНиП 31-01-2003 Здания жилые многоквартирные» (Приказ Минстроя России от 3 декабря 2016 г. №883/пр)) справа от 1 парадной. Председатель ЖСК-533 Архипова Людмила Викторовна нарушает федеральное законодательство, а также предписание Государственной жилищной инспекции Санкт-Петербурга о необходимости поддержания одного продуха в открытом состоянии (без сеток и решеток) в подвалах многоквартирных домов круглогодично (протокол совещания ГЖИ СПб от 04.03.2020 г.)",Подвалы
2948860,"Неисправное освещение!!! закупите лампочек!! 
Для нашего жилком сервиса а то приходится покупать самому чтоб не кто ноги не поломал лиговский проспект д 44 в, подъезд 8 этаж1",Содержание МКД
2948869,"прошу убрать надпись на 4м этаже на стекле двери при выходе на балкон 
3я парадная",Содержание МКД
2948872,"На 7 этаже не горит лампа,требую заменить",Содержание МКД
2948874,На 1 этаже не горит лампа освещения. Требую заменить,Содержание МКД
2948877,"сломан доводчик при выходе с черной лестницы 4го этажа на балкон
прошу исправить 
3 парадная",Содержание МКД
2948916,Граффити,Благоустройство
2948928,Покосившееся ограждение газона,Благоустройство
2948942,Добрый день! Первая парадная левый лифт в правом и левом  плафоне в лифтовой кабине  не горит лампа по одной лампе  необходимо заменить,Содержание МКД
2948949,Несанкционированные объявления на опоре освещения,Благоустройство
2948962,ямы на дороге,Благоустройство
2948965,Реклама на стенде.,Состояние рекламных или информационных конструкций
2948966,"Синявинская улица, дом 16, 1 и 2 парадная. Засор канализации. Неделю в подвале стоят нечистоты. Запах проникает в квартиры. Антисанитария. ЖЭК не принимает шагов по ремонту канализации. Фото из подвала 2 парадной, в подвал 1 парадной не пройти без сапог.",Водоотведение
2948971,Несанкционированные объявления на опоре освещения,Благоустройство
2948975,Реклама на стенде.,Состояние рекламных или информационных конструкций
2948988,"Покрасить всю входную дверь в парадную 1, она ужасна. Заранее спасибо.",Содержание МКД
2948993,Несанкционированные объявления на опоре освещения,Благоустройство
2949004,Реклама на стенде.,Состояние рекламных или информационных конструкций
2949006,Несанкционированные объявления на опоре освещения,Благоустройство
2949016,Надписи на стене.,Благоустройство
2949033,Надписи на остановке.,Благоустройство
2949037,"Ул. Декабристов 36/1.

После укрепления фундамента многоквартирного дома (для возведения станции метро Театральная) уже 1 год не демонтируется строительный забор вокруг дома.",Благоустройство
2949038,Реклама на опоре стенда.,Состояние рекламных или информационных конструкций
2949045,"добрый день! я проживаю по адресу Ярослава Гашека 4/1, у меня пол года уже нет холодной воды. Точнее у неё нет напора! ЖСК ничего не делает, просто прислали сантехника и на этом всё. далее мне сказали что бы я бегала сама по соседям и договаривалась с ними что бы нам исправить ситуацию, я даже не понимаю что там надо исправлять! ПОЧЕМУ Я ПЛАТЯ ЗА ЖИЛИЩНЫЕ УСЛУГИ, ДОЛЖНА ВЫПОЛНЯТЬ ИХ РАБОТУ! Я звонила не раз в ЖСК. и слышала одно и тоже. сделайте уже мне холодную воду! это не дело!  Я УСТАЛА НАБИРАТЬ ЧАЙНИК МИНУТ ПО 20!!!!!!!!!! 20 МИУТ!!!!!! Я помыться нормально не могу, как пропадает холодная вода я стою и жду по минут 20-30! это нормально?? НЕТ!",Водоснабжение
2949057,Неудовлетворительное состояние покрытия возле люка,Повреждения или неисправность элементов уличной инфраструктуры
2949066,про течка канализацыоной трубы в подвале первого подъезда. по пулковское шоссе дом 97 первый подъезд. течет неделю. стойт не невыносимая вонь. прошу срочно принять меры,Водоснабжение
2949069,"Неудовлетворительное состояние покрытия
Фотография очень даже актуально. Сделана этой осенью.",Благоустройство
2949073,Отсутствует освещение,Содержание МКД
2949074,"Необходимо демонтировать незаконную рекламную конструкцию, выделенную на фото.",Незаконная информационная и (или) рекламная конструкция
2949077,Неудовлетворительное состояние покрытия,Благоустройство
2949085,Конструкции запрещающие парковку  так и стоят,Благоустройство
2949089,Надписи оскорбительного характера на элементах детской горки. Прошу убрать,Благоустройство
2949098,"Добрый день. Просьба разобраться; ресторан установил кондиционеры над парадной, и образуется конденсат который сделали вывод вод прям к парадной тем самым стекает всё при входе к парадной, что способствует образованию наледи в зимнее время года.  Все жильцы хотят устранить эту проблему. Первый двор от Невского проспекта.",Нарушение правил пользования общим имуществом
2949103,дыра в столбе о,Благоустройство
2949105,"Разбросан мусор у парадной номер 1, рядом с выходом из дома, на газонах. Недавно поменяли лампу и вот куда выкинули. Прошу убрать мусор.",Благоустройство
2949120,"не убран двор. дворовая часть, рядом с гаражами",Благоустройство
2949123,Необходимо произвести очистку фасада от незаконных надписей,Благоустройство
2949124,Необходимо произвести очистку информационного стенда в подъезде от незаконных надписей,Содержание МКД
2949129,"Между станцией метрополитена и жилым домом, по адресу: г.Санкт-Петербург, Средний проспект Васильевского острова дом 32, находится разукомплектованное транспортное средство, (у автомобиля отсутствует световые приборы (сигналы поворота), замок кузова, пробка топливного бака (грязная тряпка - не является пробкой топливного бака)). Согласно статье 30 Закона Санкт-Петербурга от 31.05.2010 № 273-70 «Об административных правонарушениях в Санкт-Петербурге» под разукомплектованным транспортным средством понимается: транспортное средство, у которого отсутствуют одна или несколько кузовных деталей (предусмотренные конструкцией капот, дверь, замок двери кузова или кабины, запор горловин цистерн, пробки топливного бака) и (или) отсутствуют одно или несколько стекол, внешних световых приборов, колес, шин; сгоревшее транспортное средство. Прошу признать транспортное средство разукомплектованным, произвечти необходимые действия в соответствии с регламентом.",Благоустройство
2949136,"2 парадная, грузовой лифт около окна #200137 - с 14 октября 2020 г. повешена новая наклейка о правилах пользованием лифтом, при этом по состоянию на 18 октября 2020 г. остатки старой не удалены. Фотофиксация прилагается.",Содержание МКД
2949138,Нет света в арке. Перегорела лампочки,Содержание МКД
2949143,Незаконные надписи на павильоне. Нужно очистить.,Благоустройство
2949151,Уже неделю вода из крана льется коричневого цвета с песком,Водоснабжение
2949176,"В связи с не правильным контруклоном, в арке дома по адресу: наб.Обводного канала 128 лит А, во время и после дождя образуются лужи, которые парализуют выход из двора на улицу.",Благоустройство
2949179,"В доме 14, лестница 4 весь октябрь лифт работает не стабильно - днём работает, вечером нет. С 19 октября и по сегодняшний день не работает вообще.",Содержание МКД
2949183,горячая вода омерзительная,Водоснабжение
2949188,Отсутствует часть ограждающей решетки перил на между этажами. Третья парадная.,Содержание МКД
2949193,"Требуется произвести работы по качественной очистке фасада здания от несанкционированных рекламных объявлений, не оставляя следов. 

Фотофиксация от 18.10.прилагается.",Благоустройство
2949207,"Холодная вода подается с перебоями. Утром и вечером приходится ждать напор или обжигает во время приема душа, т.к. у горячей воды напор стабильный.",Водоснабжение
2949209,Не работает освещение у парадной 4,Содержание МКД
2949218,незаконная решетка на фасаде.,Нарушение правил пользования общим имуществом
2949219,"Требуется произвести работы по качественной очистке остановочного павильона от несанкционированных надписей, не оставляя следов (вымыть). 

Фотофиксация от 18.10.прилагается.",Благоустройство
2949221,"Уборка не производится, график не заполняется. А если и заполняется, то без уборки. Так же считаю, что вылить два ведра воды на лестничную клетку, как это было после прошлого моего обращения, это не мытьё.",Содержание МКД
2949222,"Требуется произвести работы по качественной очистке фасада здания (водосточные трубы) от несанкционированных рекламных объявлений, не оставляя следов.  

Фотофиксация от 18.10.прилагается.",Благоустройство
2949225,"Требуется произвести работы по качественной очистке дорожных знаков от несанкционированных рекламных объявлений, не оставляя следов.  

Фотофиксация от 18.10.прилагается.",Благоустройство
2949228,"Требуется произвести работы по качественной закраске несанкционированных надписей (водосточная труба), не оставляя следов и не создавая пятен. 

Фотофиксация от 18.10.прилагается.",Благоустройство
2949233,"Требуется произвести работы по качественной очистке опоры наружного освещения от несанкционированного рекламного объявления, не оставляя следов. 

Фотофиксация от 18.10.прилагается.",Благоустройство
2949246,граффити на киоске,Благоустройство
2949253,нет холодной воды по адресу Богословская 4 корпус 3 строение 1,Водоснабжение
2949257,незаконная решетка на фамаде,Нарушение правил пользования общим имуществом
2949258,незаконный кондиционер на фасаде,Нарушение правил пользования общим имуществом
2949262,"Добрый вечер.
Ремонт потолков, стен, полов, перил, поручней и прочих составных и конструктивных элементов подъезда (лестничных клеток) не проводился уже более 10-и лет. 
В соответствии с п. 3.2.2. ""Правил и норм технической эксплуатации жилищного фонда"", утв. Постановлением Госстроя РФ № 170, организация по обслуживанию жилищного фонда должна обеспечить требуемое санитарное состояние лестничных клеток, а в соответствии с п. 3.2.9. периодичность ремонта подъездов должны быть обеспечена один раз в пять или три года в зависимости от классификации зданий и физического износа.
Прошу провести давно необходимый комплексный и качественный ремонт ВСЕГО подъезда (ВСЕХ лестничных клеток подъезда), спасибо.",Содержание МКД
2949267,Незаконные надписи/объявления на знаках/светофорах. Просьба провести работы по очистке.,Благоустройство
2949268,"Добрый вечер.
Ремонт потолков, стен, полов, перил, поручней и прочих составных и конструктивных элементов подъезда (лестничных клеток) не проводился уже более 10-и лет. 
В соответствии с п. 3.2.2. ""Правил и норм технической эксплуатации жилищного фонда"", утв. Постановлением Госстроя РФ № 170, организация по обслуживанию жилищного фонда должна обеспечить требуемое санитарное состояние лестничных клеток, а в соответствии с п. 3.2.9. периодичность ремонта подъездов должны быть обеспечена один раз в пять или три года в зависимости от классификации зданий и физического износа.
Прошу провести комплексный и качественный ремонт по всей территории пола и ступеней подъезда (лестничных клеток) ИЗНОСОСТОЙКИМ специальным высокомарочным ремсоставом (предыдущий ремонтный состав, которым были восстановлены ступени, уже частично стерся, чего не должно происходить. Ремсостав для пола и ступеней должен быть очень прочный и твердый). Спасибо.",Содержание МКД
